Column1,Column2,Column3
Claude_Trudel,party,Union Montreal
Claude-Emmanuel_de_Pastoret,party,Ultra
Claudia_Ledesma_Abdala,party,Radical Civic Union
Clive_Hannaford,party,Independent
Condon_Byrne,party,Democratic Labor Party (historical)
Coos_Huijsen,party,Labour Party (Netherlands)
Craig_Mackinlay,party,Conservative Party (UK)
Crawford_Vaughan,party,Independent politician
Cyd_Ho,party,Labour Party (Hong Kong)
Cynthia_McKinney,party,Green Party of the United States
Cyril_Cameron,party,Commonwealth Liberal Party
Cyril_Smith,party,Liberal Democrats
Dail_Jones,party,New Zealand First
Dan_Backs,party,Independent
Dan_Mulcahy,party,Australian Labor Party
Dan_Richey,party,Republican Party (United States)
Daniel_Streich,party,Swiss People's Party
Danielle_Smith,party,Wildrose Party
Dave_Nellist,party,Trade Unionist and Socialist Coalition
David_Beasley,party,Republican Party (United States)
David_Charleston,party,Free Trade Party
David_Chatters,party,Conservative Party of Canada
David_Durenberger,party,Independent politician
David_Hall_(Australian_politician),party,Nationalist Party of Australia
David_Lloyd_George,party,"National Liberal Party (UK, 1922)"
David_Lloyd_George,spouse,"Frances Lloyd George, Countess Lloyd-George of Dwyfor"
David_Price_(Canadian_politician),party,Liberal Party of Canada
David_Rath,party,Czech Social Democratic Party
David_Smith_(Victorian_politician),party,Nationalist Party of Australia
David_Storrer,party,Independent
David_Tilson,party,Present
David_Vigor,party,Unite Australia Party
David_Winderlich,party,Australian Democrats
Dayasiri_Jayasekara,party,Sri Lanka Freedom Party
Deborah_Grey,party,Conservative Party of Canada
Deniz_Baykal,party,Social Democratic People's Party (Turkey)
Derek_Beackon,party,National Front (UK)
Derrick_Kimball,party,Independent politician
Dick_Taverne,party,Liberal Democrats
Diosdado_Macapagal,spouse,Eva Macapagal
Dominic_Perri,party,Independent
Dominique_de_Villepin,party,United Republic
Don_Chipp,party,Australian Democrats
Don_Jessop,party,Independent
Don_Toth,party,Saskatchewan Party
Donald_C._MacDonald,party,2/8/2017 12:00:00 AM
Donald_Charles_Cameron_(politician),party,United Australia Party
Doug_Woolerton,party,New Zealand First
Douglas_Carswell,party,Independent
Dugald_Thomson,party,Commonwealth Liberal Party
Dzhokhar_Dudayev,party,All-National Congress of the Chechen People
Dzulkefly_Ahmad,party,National Trust Party (Malaysia)
E.R._Ejercito,party,Laban
Ed_Whitfield,party,Republican Party (United States)
Eddie_Ward,party,Australian Labor Party
Edmund_Jowett,party,Country
Edmund_William_McGregor_Mackey,party,Independent Republican Party of South Carolina
Eduardo_Paes,party,Brazilian Democratic Movement Party
Edward_Archer_(politician),party,Commonwealth Liberal Party
Edward_Corser,party,Nationalist Party of Australia
Edward_Heitmann,party,Nationalist Party of Australia
Edward_J._King,party,Republican Party (United States)
Edward_Mann_(Australian_politician),party,Independent
Edward_Millen,party,Nationalist Party of Australia
Edward_Mulcahy_(Australian_politician),party,Nationalist Party of Australia
Edward_P._Weed,spouse,Sophia A. Lynes
Edward_Pulsford,party,Commonwealth Liberal Party
Edward_Russell_(Australian_politician),party,Nationalist Party of Australia
Edward_Vardon,party,Liberal Party (1922)
Edward_Zorinsky,party,Democratic Party (United States)
Ehud_Barak,party,Independence (Israeli political party)
Elena_Frumosu,party,Alliance for European Integration
Elijah_Harper,party,Liberal Party of Canada
Ellen_Melville,party,New Zealand Reform Party
Elliot_Johnson_(politician),party,Nationalist Party of Australia
Elsie_Wayne,party,Conservative Party of Canada
Emily_Lau,party,Democratic Party (Hong Kong)
Emmanuel_Dangana_Ocheja,party,All Progressives Congress
Emory_Folmar,party,Gubernatorial
encode-err,encode-err,encode-err
encode-err,encode-err,encode-err
encode-err,encode-err,encode-err
Enid_Lyons,party,Liberal Party of Australia
Enrico_Corradini,party,National Fascist Party
Eric_Bowden,party,Nationalist Party of Australia
Eric_Dawe,party,Newfoundland Reform Liberal Party
Eric_Harrison,party,Liberal Party of Australia
Eric_Illsley,party,Independent
Eric_Roozendaal,party,Independent
Erich_Honecker,party,Communist Party of Germany (1990)
Erich_Mende,party,Christian Democratic Union of Germany
Erik_Almqvist,party,Sweden Democrats
Ernest_Carr,party,Nationalist Party of Australia
Ernest_Millington,party,Labour Party (UK)
Ernesto_Maceda,party,United Nationalist Alliance
Ernesto_Nathan,party,Italian Radical Party
Estanislao_Fernandez,party,Kilusang Bagong Lipunan
Eugene_Atkinson,party,Republican Party (United States)
Eugene_Foss,party,Democratic Party (United States)
Eugenio_Scalfari,party,Italian Socialist Party
Ezer_Weizman,party,Israeli Labor Party
Fernando_Tambroni,party,Christian Democracy (Italy)
Ferruccio_Parri,party,Independent
Fielding_L._Wright,party,Dixiecrat
Filippo_Turati,party,Unitary Socialist Party
Flaminio_Piccoli,party,Rebirth of Christian Democracy
Flavio_Tosi,party,Fare
Floyd_Spence,party,Republican Party (United States)
Forbes_Burnham,party,People's National Congress (Guyana)
Franc_Falkiner,party,Nationalist Party of Australia
Francesco_Cossiga,party,Independent
Francesco_Rutelli,party,Alliance for Italy
Francesco_Saverio_Nitti,party,Independent politician
Francis_P._Murphy,party,Democratic Party (United States)
Frank_Arthur_Calder,party,British Columbia Social Credit Party
Frank_D._White,party,Republican Party (United States)
Frank_Grover,party,Christian Heritage Party of New Zealand
Frank_L._Roberts,spouse,Barbara Roberts
Frank_Liddell_(politician),party,Commonwealth Liberal Party
Frank_S._Cahill,party,Laurier Liberals
Frank_Venneri,party,Independent
Frantz_Benjamin,party,Independent
Franz_Ritter_von_Epp,party,Bavarian People's Party
Fred_Bamford,party,Nationalist Party of Australia
Fred_Dubois,party,Democratic Party (United States)
Frederick_Francis_(Australian_politician),party,Nationalist Party of Australia
Frederick_Holder,party,Independent
Friedrich_von_Payer,party,German Democratic Party
Gaafar_Nimeiry,party,National Congress Party
Ganesh_Naik,party,Nationalist Congress Party
Garry_Breitkreuz,party,Conservative Party of Canada
Gary_Bikman,party,Alberta Progressive Conservative Party
Gary_Carr_(politician),party,Liberal Party of Canada
Gaston_Caperton,spouse,Idit Harel
Gaston_Tong_Sang,party,O Porinetia To Tatou Ai'a
Gavan_O'Connor,party,Independent
Genc_Pollo,party,New Democratic Party (Albania)
George_Cole_(Australian_politician),party,Democratic Labor Party (historical)
George_Dankel,party,Nationalist Party of Australia
George_Edwards_(Australian_politician),party,Commonwealth Liberal Party
George_Fairbairn_(politician),party,Nationalist Party of Australia
George_Foley,party,Nationalist Party of Australia
George_Georges,party,Independent
George_Hannan,party,National Liberal Party (Australia)
George_Henderson_(Australian_politician),party,Nationalist Party of Australia
George_John_Bell,party,United Australia Party
George_Kerevan,party,Before 1996
George_Mackay_(Australian_politician),party,United Australia Party
George_Maxwell_(Australian_politician),party,United Australia Party
George_McDonald_(Australian_politician),party,Nationalist Party of Australia
George_Mocanu,party,Alliance for European Integration
George_Pearce,party,United Australia Party
George_Ryerson,party,Protestant Protective Association
George_Wise,party,Nationalist Party of Australia
Gerald_B._H._Solomon,party,Republican Party (United States)
Gerald_J._Boileau,party,Wisconsin Progressive Party
Gert_Schutte,party,Reformed Political League
Ghenadie_Ciobanu,party,Alliance for European Integration
Gheorghe_Arpentin,party,Alliance for European Integration
Giacomo_Acerbo,party,Monarchist National Party
Giancarlo_Pagliarini,party,Act to Stop the Decline
Gianni_Alemanno,party,National Movement for Sovereignty
Gianni_Baget_Bozzo,party,Forza Italia
Gianni_De_Michelis,party,Italian Socialist Party (2007)
Gilbert_Chandler,party,Liberal Party of Australia
Giorgio_Mammoliti,party,Independent
Giovanna_Debono,party,Independent politician
Giovanni_Giolitti,party,Italian Liberal Party
Giovanni_Giuriati,party,National Fascist Party
Giuseppe_Saragat,party,Italian Democratic Socialist Party
Glenn_Lazarus,party,Lazarus Team
Godfrey_Binaisa,party,National Resistance Movement
Gordon_Moyes,party,Family First Party
Gordon_St._Angelo,party,Democratic Party (United States)
Graeme_Campbell_(politician),party,One Nation
Graham_Pratten,party,Country
Granville_Ryrie,party,Nationalist Party of Australia
Gratton_Wilson,party,Commonwealth Liberal Party
Greg_Laughlin,party,Republican Party (United States)
Gregor_Gysi,party,The Left (Germany)
Grigore_Belostecinic,party,Alliance for European Integration
Grigore_Cobzac,party,Alliance for European Integration
Gustav_Heinemann,party,Social Democratic Party of Germany
Gustav_Stresemann,party,German Democratic Party
Guy_Arkins,party,United Australia Party
Guy_Boutilier,party,Wildrose Alliance
Guy_Edgar_Campbell,party,Until 1923
Gwendolyn_Garcia,party,Laban
Habip_Soluk,party,Justice and Development Party (Turkey)
Haji_Ayub_Afridi,party,Pakistan Peoples Party
Hal_Perry_(politician),party,Prince Edward Island Liberal Party
Hans_Enoksen,party,Siumut
Hans_Irvine,party,Commonwealth Liberal Party
Hans-Christoph_Seebohm,party,German Party (1947)
Harry_Foll,party,Liberal Party of Australia
Harry_Turner_(Australian_politician),party,Liberal Party of Australia
Harun_Idris,party,Semangat 46
Hasan_Mushaima,party,Haq Movement
Hashim_al-Atassi,party,People's Party (Syria)
Hein_Roethof,party,Labour Party (Netherlands)
Helen_Grant_(politician),party,Conservative Party (UK)
Henry_Gregory_(politician),party,Country
Henry_Gullett,party,United Australia Party
Henry_Pigott,party,Nationalist Party of Australia
Henry_Willis_(politician),party,Commonwealth Liberal Party
Henry_Winter_Davis,party,Unionist Party (United States)
Herbert_Collett,party,Liberal Party of Australia
Herbert_Hays,party,Liberal Party of Australia
Herbert_Payne,party,United Australia Party
Hilbrand_Nawijn,party,Party for the Netherlands
Hilja_Riipinen,party,Patriotic People's Movement (Finland)
Hirunika_Premachandra,party,United National Party
Hone_Harawira,party,Mana Movement
Horst_Sindermann,party,Socialist Unity Party of Germany
Hortensio_Quijano,party,Justicialist Party
Hugh_de_Largie,party,Nationalist Party of Australia
Hugh_Lawson_White,party,Whig Party (United States)
Hugh_Sinclair_(politician),party,Nationalist Party of Australia
Ian_Smith,party,Rhodesian Front
Ibrahim_Ali_(Malaysia),party,Pan-Malaysian Islamic Party
Ignazio_Silone,party,Independent politician
Igor_Corman,party,Alliance for European Integration
Ihor_Rainin,party,Petro Poroshenko Bloc
Ineke_van_Gent,party,Pacifist Socialist Party
Ion_Apostol,party,Alliance for European Integration
Ion_Balan,party,Alliance for European Integration
Ion_Cebanu,party,Alliance for European Integration
Ion_Gigurtu,party,National Renaissance Front
Ion_Lupu,party,Alliance for European Integration
Ion_Negrei,party,Alliance for European Integration
Irina_Dunn,party,Nuclear Disarmament Party
Iris_Robinson,party,Independent
Isaac_P._Gray,party,Democratic Party (United States)
Iuliu_Maniu,party,National Peasants' Party
Iurie_Apostolachi,party,Alliance for European Integration
Iurie_Chiorescu,party,Alliance for European Integration
Ivan_Evstratiev_Geshov,party,People's Party (Bulgaria)
Ivanoe_Bonomi,party,Italian Democratic Socialist Party
Ivars_Godmanis,party,Latvia's First Party/Latvian Way
J._B._Jeyaretnam,party,Reform Party (Singapore)
J._Earl_McEwen,party,Progressive Conservative Party of Ontario
J._Edward_Meyer,party,Republican Party (United States)
Jack_Beasley,party,Australian Labor Party
Jack_Cremean,party,Australian Labor Party (Anti-Communist)
Jack_Duncan-Hughes,party,United Australia Party
Jack_Elder,party,Mauri Pacific
Jack_Fellure,party,Republican Party (United States)
Jack_Mullens,party,Australian Labor Party (Anti-Communist)
Jackie_Kelly,party,Independent
Jacques_Chaban-Delmas,party,Rally for the Republic
Jag_Bhaduria,party,Independent Liberal
James_A._Walker,party,Republican Party (United States)
James_Bowman_(Canadian_politician),party,Unionist Party (Canada)
James_Boyd_(Australian_politician),party,Nationalist Party of Australia
James_Catts,party,Majority Labor Party
James_Chester_Manifold,party,Nationalist Party of Australia
James_David_Santini,party,Republican Party (United States)
James_Dunn_(Australian_politician),party,Australian Labor Party (NSW)
James_Fenton_(Australian_politician),party,United Australia Party
James_Fowler_(Australian_politician),party,Nationalist Party of Australia
James_Guthrie_(Australian_politician),party,United Australia Party
James_Hirvisaari,party,10/1/2013 12:00:00 AM
James_Hume_Cook,party,Commonwealth Liberal Party
James_Macfarlane,party,Commonwealth Liberal Party
James_McColl_(Australian_politician),party,Commonwealth Liberal Party
James_McCombs,party,New Zealand Labour Party
James_McLachlan_(Australian_politician),party,Liberal Party of Australia
James_Ogden,party,United Australia Party
James_Ronald,party,Independent
James_Rowell,party,Liberal Party (1922)
James_W._Grant,party,Republican Party (United States)
James_W._Hyatt,party,Democratic Party (United States)
James_Walker_(Australian_politician),party,Commonwealth Liberal Party
Jan_C._Ting,party,Independent
Jan_Elias_Nicolaas_Schimmelpenninck_van_der_Oye,party,Christian Historical Union
Janet_Powell,party,Australian Greens
Jason_McCartney_(politician),party,Liberal Democrat
Jatuporn_Prompan,party,Pheu Thai Party
Jean_Melzer,party,Nuclear Disarmament Party
Jean_Nayrou,party,Socialist
Jean_Nguza_Karl-i-Bond,party,Popular Movement of the Revolution
Jeff_Bate,party,Independent
Jeff_Bate,spouse,Zara Bate
Jeff_Wilson_(politician),party,Alberta Progressive Conservative Party
Jeffrey_Donaldson,party,Ulster Unionist Party
Jeffrey_Kitingan,party,Parti Solidariti Tanah Airku
Jens_Jensen_(politician),party,Independent
Jeremy_Thorpe,party,Liberal Party (UK)
Jerry_Rawlings,party,National Democratic Congress (Ghana)
Jim_Parrott,party,Independent
Jim_Prentice,party,Conservative Party of Canada
Jim_Sillars,party,Scottish Left Project
Jo_Vallentine,party,Greens WA
Joan_MacAlpine-Stiles,party,New Brunswick Liberal Association
Jock_Garden,party,Australian Labor Party
Joe_Baca,party,Before 2015
Joe_Clark_(Australian_politician),party,Australian Labor Party
Joe_Gander,party,Lang Labor
John_A._Gamble,party,Reform Party of Canada
John_Adamson_(Queensland_politician),party,Nationalist Party of Australia
John_Alexander_Wallace,party,Co-operative Commonwealth Federation
John_Best_(Canadian_politician),party,Conservative Party
John_Bradford_(Australian_politician),party,Christian Democratic Party (Australia)
John_Cartwright_(British_politician),party,"Social Democratic Party (UK, 1988)"
John_Chanter,party,Nationalist Party of Australia
John_Clemons,party,Commonwealth Liberal Party
John_Copp,spouse,John Belding
John_Daly_(Australian_politician),party,Independent
John_Devereux_(politician),party,Independent
John_Eldridge_(politician),party,Lang Labor
John_F._Shafroth,party,Democratic Party (United States)
John_Godson,party,Polish People's Party
John_Gorton,party,Liberal
John_Gray_(Australian_politician),party,Commonwealth Liberal Party
John_Hampden_Burnham,party,Unionist Party (Canada)
John_Hayes_(Australian_politician),party,Liberal Party of Australia
John_Herron_(New_Brunswick_politician),party,Independent
John_Jarman,party,Republican Party (United States)
John_Keating_(Australian_politician),party,Nationalist Party of Australia
John_Leckie_(Australian_politician),party,Liberal Party of Australia
John_Lindsay,party,Democratic Party (United States)
John_Livingston_(Australian_politician),party,Nationalist Party of Australia
John_Livingstone_Brown,party,Liberal-Progressive
John_Lynch_(Australian_politician),party,Nationalist Party of Australia
John_Lyng,party,Conservative Party
John_M._Palmer_(politician),party,National Democratic Party (United States)
John_Madigan_(Australian_politician),party,Independent
John_Martyr,party,Liberal Party of Australia
John_Millen_(Australian_politician),party,United Australia Party
John_Neild,party,Commonwealth Liberal Party
John_Nunziata,party,Independent politician
John_P._Jones,party,Silver Party
John_Patrick_Hayden,party,Irish National League
John_Perkins_(Australian_politician),party,United Australia Party
John_Price_(South_Australian_politician),party,United Australia Party
John_Quick_(politician),party,Commonwealth Liberal Party
John_Rarick,party,Before 1976
John_Shannon_(Australian_politician),party,Nationalist Party of Australia
John_Siddons,party,Unite Australia Party
John_Spicer_(Australian_politician),party,Liberal Party of Australia
John_Thomson_(Australian_politician),party,Nationalist Party of Australia
John_Tower,party,Republican Party (United States)
John_Tyndall_(politician),party,British National Party
John_Verran,party,National Party (South Australia)
John_Wentworth_(Illinois),party,Republican Party (United States)
Johnny_Ford,party,Republican Party (United States)
Jorge_Quiroga,party,Nationalist Democratic Action
Joseph_Cook,party,Nationalist
Joseph_Lyons,party,United Australia Party
Joseph_M._Carey,party,"Progressive Party (United States, 1912)"
Joseph_Platt,spouse,Thomas Hanford
Joseph_Tilley_Brown,party,Commonwealth Liberal Party
Joseph_Vardon,party,Commonwealth Liberal Party
Joshua_Mills_(Australian_politician),party,Nationalist
Josiah_Francis,party,Liberal Party of Australia
Josiah_Symon,party,Independent
Josiah_Thomas,party,Nationalist Party of Australia
Joy_Smith,party,Conservative Party of Canada
Joyce_Bateman,party,Conservative Party of Canada
Julian_McGauran,party,Liberal Party of Australia
Julian_Reed,party,Liberal Party of Canada
Julius_Malema,party,Economic Freedom Fighters
Justin_Foxton,party,Commonwealth Liberal Party
Kamal_Hossain,party,Bangladesh Awami League
Karen_Casey,party,Nova Scotia Liberal Party
Karun_Hosakul,party,Pheu Thai Party
Keith_Wilson_(politician),party,Liberal Party of Australia
Kelly_Lamrock,party,New Brunswick New Democratic Party
Kent_Hance,party,Republican Party (United States)
Kerry_Towle,party,Progressive Conservative Association of Alberta
Kezia_Purick,party,Independent
Khalid_Abdul_Samad,party,National Trust Party (Malaysia)
Khalid_Ibrahim,party,Independent
Klaas_de_Vries_(Christian_Democratic_Appeal),party,Christian Democratic Appeal
Komla_Agbeli_Gbedemah,party,National Alliance of Liberals
Konstantin_Stoilov,party,Conservative Party (Bulgaria)
Konstantinos_Karamanlis,party,New Democracy (Greece)
Konstantinos_Mitsotakis,party,New Democracy (Greece)
Kris_Hanna,party,Independent
Kutbettin_Arzu,party,Justice and Development Party (Turkey)
Lajim_Ukin,party,Independent
Lakshman_Kiriella,party,Before 2001
Lamberto_Dini,party,The People of Freedom
Larry_Baldock,party,Conservative Party of New Zealand
Lau_Kong-wah,party,Democratic Alliance for the Betterment and Progress of Hong Kong
Lau_Wong-fat,party,Business and Professionals Alliance for Hong Kong
Lauch_Faircloth,party,Republican Party (United States)
Leander_Perez,party,George C. Wallace
Lee_Siew-Choh,party,Workers' Party
Len_Webber,party,Independent
Leonid_Bujor,party,Alliance for European Integration
Leonid_Kravchuk,party,Social Democratic Party of Ukraine (united)
Leung_Kwok-hung,party,League of Social Democrats
Lewis_Nott,party,Independent
Liliana_Palihovici,party,Alliance for European Integration
Lim_Chong_Eu,party,Parti Gerakan Rakyat Malaysia
Lim_Keng_Yaik,party,Parti Gerakan Rakyat Malaysia
Lino_Oviedo,party,National Union of Ethical Citizens
Littleton_Groom,party,United Australia Party
Liz_Gordon,party,New Zealand Labour Party
Llewellyn_Atkinson,party,Nationalist Party of Australia
Lothar_Bisky,party,The Left (Germany)
Lourie_Bosman,party,Freedom Front Plus
Luigi_de_Magistris_(politician),party,Democrazia Autonomia
Luigi_Facta,party,Italian Liberal Party
Luigi_Longo,party,Italian Communist Party
Luigi_Lusi,party,Democratic Party (Italy)
Luis_Juez,party,New Party (Argentina)
Luiza_Erundina,party,Socialism and Liberty Party
Lyle_Oberg,party,Wildrose
M._Mahroof,party,United National Party
Mahinda_Samarasinghe,party,Sri Lanka Freedom Party
Mahmut_Bakalli,party,Alliance for the Future of Kosovo
Makis_Voridis,party,New Democracy (Greece)
Mal_Colston,party,Queensland First
Malcolm_Cameron_(Australian_politician),party,United Australia Party
Malusi_Gigaba,party,Before 1990
Mandy_Tam,party,"The Frontier (Hong Kong, 2010)"
Mangala_Samaraweera,party,United National Party
Manuel_Montt,party,Conservative Party (Chile)
Marcello_Alencar,party,Democratic Labour Party (Brazil)
Marco_Formentini_(politician),party,The Daisy
Marco_Pannella,party,Italian Radicals
Maria_Ciobanu,party,Alliance for European Integration
Maria_Nasu,party,Alliance for European Integration
Marilyn_Churley,party,Federal NDP
Marin_Raykov,party,Independent
Mario_Segni,party,Segni Pact
Mark_Oaten,party,Before 1988
Mark_Reckless,party,Independent
Mark_Senn,party,Conservative
Martin_Cameron,party,Liberal Party of Australia
Martin_Webster,party,Our Nation
Martyn_Evans,party,Australian Labor Party
Marwan_Barghouti,party,Al-Mustaqbal (electoral list)
Mary_Deros,party,Independent
MaryAnn_Mihychuk,party,Liberal Party of Canada
Matiu_Rata,party,Mana Motuhake
Matt_Robson,party,Progressive
Matthew_Gordon_Banks,party,Liberal Democrats
Matthew_Reid_(politician),party,United Australia Party
Matthew_Robert_Blake,party,Unionist Party (Canada)
Maumoon_Abdul_Gayoom,party,Faction
Maurice_Blackburn,party,Ind Labor
Max_Falstein,party,Independent
Mayoralty_of_Michael_Bloomberg,party,Independent
Meg_Lees,party,Australian Progressive Alliance
Metiria_Turei,party,Green Party of Aotearoa New Zealand
Michael_Bloomberg,party,Independent politician
Michael_Cassidy_(Canadian_politician),party,New Democratic Party
Michael_Considine,party,Industrial Socialist Labor Party
Michael_Forbes,party,Republican Party (United States)
Michael_Hahn,party,Unionist Party (United States)
Michael_J._Michot,party,Democratic Party (United States)
Michael_Parker_(politician),party,Before 1995
Michael_Townley_(Australian_politician),party,Independent
Michelle_Thomson,party,Before 2015
Mihai_Cimpoi,party,Alliance for European Integration
Mihail_Silistraru,party,Alliance for European Integration
Mike_Gallacher,party,Independent
